term_id,term_code,term_type,canonical_name,english_name,color_family,base_color_id,base_color_code,base_color_name,note,created_at,updated_at
,COLOR_WHITE,COLOR,화이트,White,뉴트럴,,,,"가장 기본적인 무채색, 미니멀·클린걸룩의 기본 컬러",,
,COLOR_OFF_WHITE,COLOR,오프화이트,Off-White,뉴트럴,,,,순백보다 은은하게 아이보리 기가 도는 화이트,,
,COLOR_IVORY,COLOR,아이보리,Ivory,뉴트럴,,,,부드럽고 따뜻한 인상의 크림빛 화이트,,
,COLOR_CREAM,COLOR,크림,Cream,뉴트럴,,,,아이보리보다 옐로우 기가 더 도는 부드러운 색,,
,COLOR_BEIGE,COLOR,베이지,Beige,뉴트럴,,,,뉴트럴·미니멀룩에서 가장 활용도가 높은 중간 톤,,
,COLOR_SAND_BEIGE,COLOR,샌드베이지,Sand Beige,뉴트럴,,COLOR_BEIGE,베이지,모래사장처럼 밝고 따뜻한 베이지,,
,COLOR_OATMEAL_BEIGE,COLOR,오트밀베이지,Oatmeal Beige,뉴트럴,,COLOR_BEIGE,베이지,오트밀 죽처럼 뿌옇고 차분한 베이지,,
,COLOR_LIGHT_GRAY,COLOR,라이트그레이,Light Gray,뉴트럴,,,,"밝은 회색, 오피스룩·미니멀룩에 사용",,
,COLOR_GRAY,COLOR,그레이,Gray,뉴트럴,,,,뉴트럴을 대표하는 중간 명도의 무채색,,
,COLOR_ASH_GRAY,COLOR,애쉬그레이,Ash Gray,뉴트럴,,COLOR_GRAY,그레이,재처럼 푸르스름한 기가 살짝 도는 회색,,
,COLOR_SLATE_GRAY,COLOR,슬레이트그레이,Slate Gray,뉴트럴,,COLOR_GRAY,그레이,점판암처럼 푸르스름한 톤이 도는 짙은 회색,,
,COLOR_CHARCOAL,COLOR,차콜,Charcoal,뉴트럴,,,,"블랙에 가까운 짙은 회색, 오피스룩·아우터에 자주 사용",,
,COLOR_SMOKY_GRAY,COLOR,스모키그레이,Smoky Gray,뉴트럴,,COLOR_CHARCOAL,차콜,연기처럼 뿌옇게 가라앉은 짙은 회색,,
,COLOR_BLACK,COLOR,블랙,Black,뉴트럴,,,,"가장 기본적인 무채색, 모든 스타일에 활용되는 베이직 컬러",,
,COLOR_GREIGE,COLOR,그레이지,Greige,뉴트럴,,,,"그레이와 베이지를 섞은 중간 톤, 미니멀룩에서 선호",,
,COLOR_CAMEL,COLOR,카멜,Camel,웜톤,,,,"낙타색에서 유래한 따뜻한 갈색, 코트·니트웨어에 자주 사용",,
,COLOR_BROWN,COLOR,브라운,Brown,웜톤,,,,웜톤을 대표하는 기본 색상,,
,COLOR_MOCHA_BROWN,COLOR,모카브라운,Mocha Brown,웜톤,,COLOR_BROWN,브라운,"모카커피처럼 부드럽고 은은한 갈색, 최근 시즌 유행 컬러",,
,COLOR_DARK_BROWN,COLOR,다크브라운,Dark Brown,웜톤,,,,브라운보다 짙고 무게감 있는 톤,,
,COLOR_CHOCOLATE,COLOR,초콜릿,Chocolate,웜톤,,,,다크브라운보다 붉은 기가 도는 짙은 갈색,,
,COLOR_COCOA_BROWN,COLOR,코코아브라운,Cocoa Brown,웜톤,,COLOR_CHOCOLATE,초콜릿,코코아처럼 진하고 따뜻한 갈색,,
,COLOR_TAN,COLOR,탠,Tan,웜톤,,,,카멜보다 밝고 옐로우 기가 도는 갈색,,
,COLOR_TOAST_BROWN,COLOR,토스트브라운,Toast Brown,웜톤,,COLOR_TAN,탠,토스트 빵처럼 은은하게 그을린 듯한 연갈색,,
,COLOR_KHAKI,COLOR,카키,Khaki,웜톤,,,,밀리터리·워크웨어룩에 자주 사용되는 황갈색 계열,,
,COLOR_OLIVE,COLOR,올리브,Olive,웜톤,,,,카키보다 그린 기가 강한 국방색 계열,,
,COLOR_SAGE_GREEN,COLOR,세이지그린,Sage Green,웜톤,,COLOR_OLIVE,올리브,"세이지 허브처럼 뿌옇고 차분한 그레이시 그린, 최근 인테리어·패션 전반 유행 컬러",,
,COLOR_MUSTARD,COLOR,머스타드,Mustard,웜톤,,,,"겨자색, 가을 시즌 니트웨어·아우터에 자주 사용",,
,COLOR_RUST,COLOR,러스트,Rust,웜톤,,,,"녹슨 듯한 주황빛 도는 갈색, 가을 시즌 대표 컬러",,
,COLOR_BRICK_RED,COLOR,브릭레드,Brick Red,웜톤,,COLOR_RUST,러스트,벽돌색처럼 탁하고 짙은 붉은 갈색,,
,COLOR_NAVY,COLOR,네이비,Navy,쿨톤,,,,블랙 대신 사용되는 클래식·비즈니스코어의 기본 컬러,,
,COLOR_INDIGO_BLUE,COLOR,인디고블루,Indigo Blue,딥/다크,,COLOR_NAVY,네이비,"쪽염색처럼 짙고 푸른 남색, 데님 워싱에도 자주 사용되는 톤",,
