term_id,term_code,term_type,canonical_name,english_name,tpo_type,note,created_at,updated_at
,TPO_DAILY,TPO,데일리,Daily,시간,특별한 목적 없이 일상적으로 착용하는 상황을 통칭,,
,TPO_WEEKDAY,TPO,평일,Weekday,시간,주말과 대비되는 일과 중심의 시간대,,
,TPO_WEEKEND,TPO,주말,Weekend,시간,평일과 대비되는 여유로운 시간대,,
,TPO_MORNING,TPO,아침,Morning,시간,등교·출근 등 하루를 시작하는 시간대,,
,TPO_EVENING,TPO,저녁,Evening,시간,"퇴근 후, 저녁 약속 등에 어울리는 시간대",,
,TPO_NIGHT,TPO,나이트,Night,시간,파티·클럽 등 늦은 시간대의 활동,,
,TPO_SPRING,TPO,봄,Spring,시간,"환절기 아우터, 가벼운 소재가 주로 활용되는 계절",,
,TPO_SUMMER,TPO,여름,Summer,시간,"통기성 좋은 소재, 짧은 기장이 선호되는 계절",,
,TPO_AUTUMN,TPO,가을,Fall/Autumn,시간,"레이어드, 중간 두께 아우터가 활용되는 계절",,
,TPO_WINTER,TPO,겨울,Winter,시간,방한 소재·아우터가 중심이 되는 계절,,
,TPO_SEASONAL_TRANSITION,TPO,환절기,Seasonal Transition,시간,계절이 바뀌는 시기의 애매한 기온대에 대응하는 코디,,
,TPO_NEW_YEAR_SEASON,TPO,연말연시,Year-end/New Year Season,시간,"크리스마스~새해로 이어지는 겨울 시즌, 파티룩 수요가 높은 시기",,
,TPO_OFFICE,TPO,오피스,Office,장소,회사·업무 공간,,
,TPO_CAMPUS,TPO,캠퍼스,Campus,장소,대학교·학교 등 교육기관,,
,TPO_INDOOR,TPO,실내,Indoor,장소,실내 공간 전반,,
,TPO_OUTDOOR,TPO,야외,Outdoor,장소,실외 공간 전반,,
,TPO_TRAVEL_DESTINATION,TPO,여행지,Travel Destination,장소,국내외 여행 목적지,,
,TPO_AIRPORT,TPO,공항,Airport,장소,"출입국 시 거치는 공간, 편안하면서 스타일리시한 '공항패션'이 하나의 트렌드로 자리잡음",,
,TPO_BEACH,TPO,해변,Beach,장소,여름 휴양지·물놀이 장소,,
,TPO_WATER_PARK,TPO,워터파크,Water Park,장소,여름철 물놀이를 위한 수영장·워터파크 시설,,
,TPO_SKI_RESORT,TPO,스키장,Ski Resort,장소,"겨울 스포츠 리조트, 방한·스포티 아이템 수요가 높은 장소",,
,TPO_CITY,TPO,도심,Urban/City,장소,도시 중심가에서의 활동,,
,TPO_CAFE,TPO,카페,Cafe,장소,카페·브런치 등 여유로운 공간,,
,TPO_DEPARTMENT_STORE,TPO,백화점,Department Store,장소,쇼핑을 위한 실내 상업 공간,,
,TPO_GALLERY,TPO,미술관,Museum/Gallery,장소,전시 관람 등 정적인 실내 문화공간,,
,TPO_MOVIE_THEATER,TPO,영화관,Movie Theater,장소,영화 관람 공간,,
,TPO_WEDDING_VENUE,TPO,웨딩홀,Wedding Venue,장소,결혼식이 열리는 공간,,
,TPO_MOUNTAIN,TPO,등산로,Trail/Mountain,장소,등산·트레킹 장소,,
,TPO_GYM,TPO,헬스장,Gym,장소,실내 운동 시설,,
,TPO_GOLF_COURSE,TPO,골프장,Golf Course,장소,"골프를 즐기는 야외 스포츠 공간, 골프웨어 트렌드와 직결",,
,TPO_COMMUTE,TPO,출근,Work/Commute,상황,회사 출퇴근 시 착용하는 복장 상황,,
,TPO_DATE,TPO,데이트,Date,상황,연인·소개팅 등 이성과의 만남,,
,TPO_JOB_INTERVIEW,TPO,면접,Job Interview,상황,취업 면접 등 평가받는 자리,,
,TPO_BUSINESS_MEETING,TPO,비즈니스미팅,Business Meeting,상황,업무상 공식 회의,,
,TPO_COMPANY_DINNER,TPO,회식,Company Dinner,상황,직장 동료들과의 저녁 모임 및 연말·연초 회사 모임,,
,TPO_WEDDING_GUEST,TPO,결혼식하객,Wedding Guest,상황,결혼식에 하객으로 참석하는 상황,,
,TPO_FAMILY_MEETING,TPO,상견례,Family Meeting (Pre-wedding),상황,결혼 전 양가 상견례 자리,,
,TPO_WEDDING_PHOTOSHOOT,TPO,웨딩촬영,Wedding Photoshoot,상황,결혼식 전후 진행하는 웨딩 컨셉 촬영,,
,TPO_FUNERAL,TPO,장례식,Funeral,상황,조문·장례식장 방문,,
,TPO_FIRST_BIRTHDAY_PARTY,TPO,돌잔치,First Birthday Party,상황,아이의 첫돌을 기념하는 잔치,,
,TPO_BIRTHDAY_PARTY,TPO,생일파티,Birthday Party,상황,생일을 기념하는 모임,,
,TPO_GRADUATION,TPO,졸업식,Graduation,상황,학교 졸업을 기념하는 행사,,
,TPO_NEW_SEMESTER,TPO,개강,New Semester,상황,학기 시작을 기념하는 첫 등교,,
,TPO_WORKOUT,TPO,운동,Workout,상황,실내외 운동 활동,,
,TPO_GOLF,TPO,골프,Golf,상황,골프 라운딩 시 착용하는 복장 상황,,
,TPO_CAMPING,TPO,캠핑,Camping,상황,야외 캠핑 활동,,
,TPO_PICNIC,TPO,피크닉,Picnic,상황,야외 나들이·소풍,,
,TPO_BRUNCH,TPO,브런치,Brunch,상황,오전~낮 시간대의 여유로운 식사 모임,,
,TPO_LOUNGEWEAR,TPO,홈웨어,Loungewear,상황,집에서 휴식·수면 시 착용하는 복장,,
,TPO_HOUSEWARMING,TPO,집들이,Housewarming,상황,새 집을 방문하는 지인 모임,,
,TPO_FESTIVAL,TPO,페스티벌,Festival,상황,야외 음악 페스티벌 등 행사,,
,TPO_CONCERT,TPO,콘서트,Concert,상황,콘서트·공연 관람,,
,TPO_KOREAN_HOLIDAY,TPO,명절,Korean Holiday,상황,설·추석 등 명절 가족 모임,,
,TPO_CHRISTMAS,TPO,크리스마스,Christmas,상황,연말 크리스마스 시즌 파티·모임,,
,TPO_RETREAT,TPO,워크샵/MT,Company Workshop/Retreat,상황,"회사 워크샵, 대학 MT 등 단체 활동",,
