id,category_code,parent_category_code,name,level,sort_order,status,created_at,updated_at
,TOP,,상의,1,10,ACTIVE,,
,OUTER,,아우터,1,20,ACTIVE,,
,BOTTOM,,하의,1,30,ACTIVE,,
,DRESS_SKIRT,,원피스·스커트,1,40,ACTIVE,,
,SHOES,,신발,1,50,ACTIVE,,
,ACCESSORY,,잡화·액세서리,1,60,ACTIVE,,
,BAG,,가방,1,70,ACTIVE,,
,ETC,,기타,1,80,ACTIVE,,
,TOP_SHORT_SLEEVE_TSHIRT,TOP,반소매 티셔츠,2,10,ACTIVE,,
,TOP_LONG_SLEEVE_TSHIRT,TOP,긴소매 티셔츠,2,20,ACTIVE,,
,TOP_SLEEVELESS,TOP,민소매/슬리브리스,2,30,ACTIVE,,
,TOP_POLO_SHIRT,TOP,피케/카라 티셔츠,2,40,ACTIVE,,
,TOP_SHIRT,TOP,셔츠,2,50,ACTIVE,,
,TOP_BLOUSE,TOP,블라우스,2,60,ACTIVE,,
,TOP_SWEATSHIRT,TOP,맨투맨/스웨트,2,70,ACTIVE,,
,TOP_HOODIE,TOP,후드,2,80,ACTIVE,,
,TOP_KNIT_SWEATER,TOP,니트/스웨터,2,90,ACTIVE,,
,TOP_OTHER,TOP,기타 상의,2,100,ACTIVE,,
,OUTER_WINDBREAKER,OUTER,바람막이,2,10,ACTIVE,,
,OUTER_TRAINING_JACKET,OUTER,트레이닝 재킷,2,20,ACTIVE,,
,OUTER_HOOD_ZIPUP,OUTER,후드 집업,2,30,ACTIVE,,
,OUTER_BLOUSON_MA1,OUTER,블루종/MA-1,2,40,ACTIVE,,
,OUTER_DENIM_JACKET,OUTER,데님 재킷,2,50,ACTIVE,,
,OUTER_LEATHER_JACKET,OUTER,레더 재킷,2,60,ACTIVE,,
,OUTER_BLAZER_SUIT,OUTER,블레이저/슈트 재킷,2,70,ACTIVE,,
,OUTER_COACH_JACKET,OUTER,코치 재킷,2,80,ACTIVE,,
,OUTER_ANORAK,OUTER,아노락,2,90,ACTIVE,,
,OUTER_FLEECE,OUTER,플리스 재킷,2,100,ACTIVE,,
,OUTER_CARDIGAN,OUTER,가디건,2,110,ACTIVE,,
,OUTER_VEST,OUTER,베스트,2,120,ACTIVE,,
,OUTER_LIGHT_PADDING,OUTER,경량 패딩,2,130,ACTIVE,,
,OUTER_SHORT_PADDING,OUTER,숏 패딩,2,140,ACTIVE,,
,OUTER_LONG_PADDING,OUTER,롱 패딩,2,150,ACTIVE,,
,OUTER_MUSTANG_FUR,OUTER,무스탕/퍼,2,160,ACTIVE,,
,OUTER_TRENCH_COAT,OUTER,트렌치 코트,2,170,ACTIVE,,
,OUTER_SHORT_HALF_COAT,OUTER,숏/하프 코트,2,180,ACTIVE,,
,OUTER_LONG_COAT,OUTER,롱 코트,2,190,ACTIVE,,
,OUTER_OTHER,OUTER,기타 아우터,2,200,ACTIVE,,
,BOTTOM_DENIM,BOTTOM,데님 팬츠,2,10,ACTIVE,,
,BOTTOM_COTTON_CHINO,BOTTOM,코튼/치노 팬츠,2,20,ACTIVE,,
,BOTTOM_SLACKS,BOTTOM,슬랙스,2,30,ACTIVE,,
,BOTTOM_CARGO,BOTTOM,카고 팬츠,2,40,ACTIVE,,
,BOTTOM_SWEAT_JOGGER,BOTTOM,스웨트/조거 팬츠,2,50,ACTIVE,,
,BOTTOM_TRAINING,BOTTOM,트레이닝 팬츠,2,60,ACTIVE,,
,BOTTOM_SHORTS,BOTTOM,숏 팬츠,2,70,ACTIVE,,
,BOTTOM_LEGGINGS,BOTTOM,레깅스,2,80,ACTIVE,,
,BOTTOM_OTHER,BOTTOM,기타 팬츠,2,90,ACTIVE,,
,DRESS_MINI,DRESS_SKIRT,미니 원피스,2,10,ACTIVE,,
,DRESS_MIDI,DRESS_SKIRT,미디 원피스,2,20,ACTIVE,,
,DRESS_MAXI,DRESS_SKIRT,롱/맥시 원피스,2,30,ACTIVE,,
