keyword,year_month,volume,term_type
5부소매,2025-09,30,DETAIL
5부소매,2025-10,30,DETAIL
5부소매,2025-11,20,DETAIL
5부소매,2025-12,10,DETAIL
5부소매,2026-01,40,DETAIL
5부소매,2026-02,50,DETAIL
5부소매,2026-03,90,DETAIL
5부소매,2026-04,170,DETAIL
5부소매,2026-05,260,DETAIL
5부소매,2026-06,260,DETAIL
5부소매,2026-07,260,DETAIL
5부소매,2026-08,260,DETAIL
7부소매,2025-09,90,DETAIL
7부소매,2025-10,90,DETAIL
7부소매,2025-11,90,DETAIL
7부소매,2025-12,50,DETAIL
7부소매,2026-01,90,DETAIL
7부소매,2026-02,110,DETAIL
7부소매,2026-03,170,DETAIL
7부소매,2026-04,260,DETAIL
7부소매,2026-05,210,DETAIL
7부소매,2026-06,210,DETAIL
7부소매,2026-07,260,DETAIL
7부소매,2026-08,260,DETAIL
MT,2025-09,60,TPO
MT,2025-10,30,TPO
MT,2025-11,50,TPO
MT,2025-12,30,TPO
MT,2026-01,30,TPO
MT,2026-02,100,TPO
MT,2026-03,380,TPO
MT,2026-04,180,TPO
MT,2026-05,210,TPO
MT,2026-06,60,TPO
MT,2026-07,70,TPO
MT,2026-08,90,TPO
Y2K,2025-09,70,STYLE
Y2K,2025-10,70,STYLE
Y2K,2025-11,50,STYLE
Y2K,2025-12,70,STYLE
Y2K,2026-01,90,STYLE
Y2K,2026-02,70,STYLE
Y2K,2026-03,90,STYLE
Y2K,2026-04,110,STYLE
Y2K,2026-05,170,STYLE
Y2K,2026-06,110,STYLE
Y2K,2026-07,90,STYLE
Y2K,2026-08,110,STYLE
가디건,2025-09,12100,ITEM
가디건,2025-10,14800,ITEM
가디건,2025-11,12100,ITEM
가디건,2025-12,9900,ITEM
가디건,2026-01,12100,ITEM
가디건,2026-02,12100,ITEM
가디건,2026-03,14800,ITEM
가디건,2026-04,14800,ITEM
가디건,2026-05,12100,ITEM
가디건,2026-06,9900,ITEM
가디건,2026-07,9900,ITEM
가디건,2026-08,9900,ITEM
가방,2025-09,1090,ITEM
가방,2025-10,1020,ITEM
가방,2025-11,1000,ITEM
가방,2025-12,840,ITEM
가방,2026-01,1420,ITEM
가방,2026-02,1440,ITEM
가방,2026-03,1140,ITEM
가방,2026-04,1140,ITEM
가방,2026-05,1210,ITEM
가방,2026-06,1120,ITEM
가방,2026-07,1160,ITEM
가방,2026-08,1440,ITEM
가을,2025-09,13700,TPO
가을,2025-10,12700,TPO
가을,2025-11,4400,TPO
가을,2025-12,1200,TPO
가을,2026-01,810,TPO
가을,2026-02,940,TPO
가을,2026-03,970,TPO
가을,2026-04,1320,TPO
가을,2026-05,1090,TPO
가을,2026-06,1040,TPO
가을,2026-07,1380,TPO
가을,2026-08,5570,TPO
개강,2025-09,280,TPO
개강,2025-10,120,TPO
개강,2025-11,100,TPO
개강,2025-12,80,TPO
개강,2026-01,280,TPO
개강,2026-02,1070,TPO
개강,2026-03,1770,TPO
개강,2026-04,190,TPO
개강,2026-05,120,TPO
개강,2026-06,100,TPO
개강,2026-07,120,TPO
개강,2026-08,530,TPO
개더,2025-09,110,DETAIL
개더,2025-10,110,DETAIL
개더,2025-11,90,DETAIL
개더,2025-12,110,DETAIL
개더,2026-01,140,DETAIL
개더,2026-02,170,DETAIL
개더,2026-03,320,DETAIL
개더,2026-04,390,DETAIL
개더,2026-05,480,DETAIL
개더,2026-06,590,DETAIL
개더,2026-07,590,DETAIL
개더,2026-08,480,DETAIL
개버딘,2025-09,170,MATERIAL
개버딘,2025-10,210,MATERIAL
개버딘,2025-11,220,MATERIAL
개버딘,2025-12,150,MATERIAL
개버딘,2026-01,170,MATERIAL
개버딘,2026-02,170,MATERIAL
개버딘,2026-03,310,MATERIAL
개버딘,2026-04,300,MATERIAL
개버딘,2026-05,370,MATERIAL
개버딘,2026-06,210,MATERIAL
개버딘,2026-07,240,MATERIAL
개버딘,2026-08,190,MATERIAL
걸리시,2025-09,90,STYLE
걸리시,2025-10,120,STYLE
걸리시,2025-11,70,STYLE
걸리시,2025-12,60,STYLE
걸리시,2026-01,110,STYLE
걸리시,2026-02,80,STYLE
걸리시,2026-03,130,STYLE
걸리시,2026-04,120,STYLE
걸리시,2026-05,160,STYLE
걸리시,2026-06,150,STYLE
걸리시,2026-07,110,STYLE
걸리시,2026-08,130,STYLE
검솔,2025-09,10,DETAIL
검솔,2025-10,10,DETAIL
검솔,2025-11,10,DETAIL
검솔,2025-12,20,DETAIL
검솔,2026-01,20,DETAIL
검솔,2026-02,40,DETAIL
검솔,2026-03,90,DETAIL
검솔,2026-04,70,DETAIL
검솔,2026-05,90,DETAIL
검솔,2026-06,90,DETAIL
검솔,2026-07,90,DETAIL
검솔,2026-08,90,DETAIL
겨울,2025-09,3210,TPO
겨울,2025-10,8100,TPO
겨울,2025-11,15800,TPO
겨울,2025-12,14500,TPO
겨울,2026-01,8300,TPO
겨울,2026-02,3670,TPO
겨울,2026-03,1340,TPO
겨울,2026-04,1180,TPO
겨울,2026-05,1310,TPO
겨울,2026-06,1760,TPO
겨울,2026-07,1910,TPO
겨울,2026-08,2460,TPO
결혼식 하객,2025-09,560,TPO
결혼식 하객,2025-10,560,TPO
결혼식 하객,2025-11,500,TPO
결혼식 하객,2025-12,490,TPO
결혼식 하객,2026-01,500,TPO
결혼식 하객,2026-02,390,TPO
결혼식 하객,2026-03,430,TPO
결혼식 하객,2026-04,530,TPO
결혼식 하객,2026-05,430,TPO
결혼식 하객,2026-06,330,TPO
결혼식 하객,2026-07,250,TPO
결혼식 하객,2026-08,390,TPO
고어텍스,2025-09,5470,MATERIAL
고어텍스,2025-10,5450,MATERIAL
고어텍스,2025-11,5490,MATERIAL
고어텍스,2025-12,6670,MATERIAL
고어텍스,2026-01,5450,MATERIAL
고어텍스,2026-02,3650,MATERIAL
고어텍스,2026-03,5490,MATERIAL
고어텍스,2026-04,4490,MATERIAL
고어텍스,2026-05,4510,MATERIAL
고어텍스,2026-06,3710,MATERIAL
고어텍스,2026-07,4510,MATERIAL
고어텍스,2026-08,3710,MATERIAL
고프코어,2025-09,7000,STYLE
고프코어,2025-10,7300,STYLE
고프코어,2025-11,7300,STYLE
고프코어,2025-12,7000,STYLE
고프코어,2026-01,6000,STYLE
고프코어,2026-02,7000,STYLE
고프코어,2026-03,9000,STYLE
고프코어,2026-04,8500,STYLE
고프코어,2026-05,9000,STYLE
고프코어,2026-06,6000,STYLE
고프코어,2026-07,5700,STYLE
고프코어,2026-08,7000,STYLE
골드,2025-09,10,COLOR
골드,2025-10,10,COLOR
골드,2025-11,10,COLOR
골드,2025-12,10,COLOR
골드,2026-01,10,COLOR
골드,2026-02,10,COLOR
골드,2026-03,20,COLOR
골드,2026-04,30,COLOR
골드,2026-05,30,COLOR
골드,2026-06,40,COLOR
골드,2026-07,50,COLOR
골드,2026-08,50,COLOR
골지,2025-09,140,MATERIAL
골지,2025-10,160,MATERIAL
골지,2025-11,250,MATERIAL
골지,2025-12,370,MATERIAL
골지,2026-01,430,MATERIAL
골지,2026-02,530,MATERIAL
골지,2026-03,580,MATERIAL
골지,2026-04,650,MATERIAL
골지,2026-05,870,MATERIAL
골지,2026-06,800,MATERIAL
골지,2026-07,910,MATERIAL
골지,2026-08,910,MATERIAL
골프,2025-09,3200,TPO
골프,2025-10,3100,TPO
골프,2025-11,2350,TPO
골프,2025-12,2030,TPO
골프,2026-01,2020,TPO
골프,2026-02,2100,TPO
골프,2026-03,3040,TPO
골프,2026-04,3680,TPO
골프,2026-05,3240,TPO
골프,2026-06,2590,TPO
골프,2026-07,2540,TPO
