id,term_type,canonical_name,english_name,description,status,first_seen_at,last_seen_at,created_at,updated_at,term_code,brand_id,embedding_updated_at,normalized_name,search_keyword,search_keyword_en,is_ambiguous,keyword_count
157,ITEM,코트,Coat,기장 속성과 분리되는 기본 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_COAT,,,코트,코트|여성코트|롱코트,coat fashion,True,3
158,ITEM,파카,Parka,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_PARKA,,,파카,파카,parka,False,1
159,ITEM,패딩,Puffer Jacket,경량/숏/롱은 LENGTH/구조 속성으로 분리,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_DOWN_JACKET,,,패딩,패딩,puffer jacket,False,1
160,ITEM,후드집업,Zip-up Hoodie,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_HOODED_ZIP_UP,,,후드집업,후드집업,zip-up hoodie,False,1
161,ITEM,라이더재킷,Biker Jacket,라이더/바이커 구조가 독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_BIKER_JACKET,,,라이더재킷,라이더재킷,biker jacket,False,1
162,ITEM,봄버재킷,Bomber Jacket,항공점퍼/봄버/MA-1 계열 canonical,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_BOMBER_JACKET,,,봄버재킷,봄버재킷,bomber jacket,False,1
163,ITEM,블레이저,Blazer,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_BLAZER,,,블레이저,블레이저,blazer,False,1
164,ITEM,블루종,Blouson,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_BLOUSON,,,블루종,블루종,blouson,False,1
165,ITEM,스타디움재킷,Stadium Jacket,바시티/스타디움 계열 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_STADIUM_JACKET,,,스타디움재킷,스타디움재킷,stadium jacket,False,1
166,ITEM,야상,Field Jacket,필드/밀리터리 재킷 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_FIELD_JACKET,,,야상,야상,field jacket,False,1
167,ITEM,코치재킷,Coach Jacket,안정적인 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_COACH_JACKET,,,코치재킷,코치재킷,coach jacket,False,1
168,ITEM,트러커재킷,Trucker Jacket,소재와 무관한 구조적 재킷 subtype; 기존 데님재킷 카테고리 활용,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_TRUCKER_JACKET,,,트러커재킷,트러커재킷,trucker jacket,False,1
169,ITEM,트레이닝재킷,Track Jacket,스포츠/트랙 재킷 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_TRACK_JACKET,,,트레이닝재킷,트레이닝재킷,track jacket,False,1
170,ITEM,플리스재킷,Fleece Jacket,커머스에서 독립 카테고리로 안정적,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_FLEECE_JACKET,,,플리스재킷,플리스재킷,fleece jacket,False,1
171,ITEM,더플코트,Duffle Coat,독립 상품유형; 카테고리는 대표 운영 매핑,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_DUFFLE_COAT,,,더플코트,더플코트,duffle coat,False,1
172,ITEM,트렌치코트,Trench Coat,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_TRENCH_COAT,,,트렌치코트,트렌치코트,trench coat,False,1
173,ITEM,레깅스,Leggings,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_LEGGINGS,,,레깅스,레깅스|요가레깅스,leggings fashion,True,2
174,ITEM,팬츠,Pants,바지류 기본 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_PANTS,,,팬츠,팬츠|바지|여성팬츠,pants fashion,True,3
175,ITEM,버뮤다팬츠,Bermuda Shorts,독립적으로 굳어진 길이 기반 subtype,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_BERMUDA_SHORTS,,,버뮤다팬츠,버뮤다팬츠,bermuda shorts,False,1
176,ITEM,쇼츠,Shorts,숏팬츠/반바지를 alias로 흡수,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_SHORTS,,,쇼츠,쇼츠|반바지,shorts fashion,True,2
177,ITEM,스웨트팬츠,Sweatpants,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_SWEATPANTS,,,스웨트팬츠,스웨트팬츠,sweatpants,False,1
