id,term_type,canonical_name,english_name,description,status,first_seen_at,last_seen_at,created_at,updated_at,term_code,brand_id,embedding,embedding_updated_at,normalized_name,search_keyword
157,ITEM,코트,Coat,기장 속성과 분리되는 기본 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_COAT,,,,코트,코트
158,ITEM,파카,Parka,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_PARKA,,,,파카,파카
159,ITEM,패딩,Puffer Jacket,경량/숏/롱은 LENGTH/구조 속성으로 분리,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_DOWN_JACKET,,,,패딩,패딩
160,ITEM,후드집업,Zip-up Hoodie,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_HOODED_ZIP_UP,,,,후드집업,후드집업
161,ITEM,라이더재킷,Biker Jacket,라이더/바이커 구조가 독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_BIKER_JACKET,,,,라이더재킷,라이더재킷
162,ITEM,봄버재킷,Bomber Jacket,항공점퍼/봄버/MA-1 계열 canonical,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_BOMBER_JACKET,,,,봄버재킷,봄버재킷
163,ITEM,블레이저,Blazer,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_BLAZER,,,,블레이저,블레이저
164,ITEM,블루종,Blouson,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_BLOUSON,,,,블루종,블루종
165,ITEM,스타디움재킷,Stadium Jacket,바시티/스타디움 계열 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_STADIUM_JACKET,,,,스타디움재킷,스타디움재킷
166,ITEM,야상,Field Jacket,필드/밀리터리 재킷 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_FIELD_JACKET,,,,야상,야상
167,ITEM,코치재킷,Coach Jacket,안정적인 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_COACH_JACKET,,,,코치재킷,코치재킷
168,ITEM,트러커재킷,Trucker Jacket,소재와 무관한 구조적 재킷 subtype; 기존 데님재킷 카테고리 활용,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_TRUCKER_JACKET,,,,트러커재킷,트러커재킷
169,ITEM,트레이닝재킷,Track Jacket,스포츠/트랙 재킷 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_TRACK_JACKET,,,,트레이닝재킷,트레이닝재킷
170,ITEM,플리스재킷,Fleece Jacket,커머스에서 독립 카테고리로 안정적,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_FLEECE_JACKET,,,,플리스재킷,플리스재킷
171,ITEM,더플코트,Duffle Coat,독립 상품유형; 카테고리는 대표 운영 매핑,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_DUFFLE_COAT,,,,더플코트,더플코트
172,ITEM,트렌치코트,Trench Coat,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_TRENCH_COAT,,,,트렌치코트,트렌치코트
173,ITEM,레깅스,Leggings,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_LEGGINGS,,,,레깅스,레깅스
174,ITEM,팬츠,Pants,바지류 기본 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_PANTS,,,,팬츠,팬츠
175,ITEM,버뮤다팬츠,Bermuda Shorts,독립적으로 굳어진 길이 기반 subtype,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_BERMUDA_SHORTS,,,,버뮤다팬츠,버뮤다팬츠
176,ITEM,쇼츠,Shorts,숏팬츠/반바지를 alias로 흡수,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_SHORTS,,,,쇼츠,쇼츠
177,ITEM,스웨트팬츠,Sweatpants,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_SWEATPANTS,,,,스웨트팬츠,스웨트팬츠
178,ITEM,스커트팬츠,Skort,스코트/치마바지 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_SKORT,,,,스커트팬츠,스커트팬츠
179,ITEM,슬랙스,Slacks,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_SLACKS,,,,슬랙스,슬랙스
180,ITEM,조거팬츠,Jogger Pants,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_JOGGER_PANTS,,,,조거팬츠,조거팬츠
181,ITEM,청바지,Jeans,데님+팬츠이지만 lexicalized product type,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_JEANS,,,,청바지,청바지
182,ITEM,치노팬츠,Chino Pants,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_CHINO_PANTS,,,,치노팬츠,치노팬츠
183,ITEM,카고팬츠,Cargo Pants,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_CARGO_PANTS,,,,카고팬츠,카고팬츠
184,ITEM,카프리팬츠,Capri Pants,독립적으로 굳어진 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_CAPRI_PANTS,,,,카프리팬츠,카프리팬츠
185,ITEM,큐롯팬츠,Culottes,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_CULOTTES,,,,큐롯팬츠,큐롯팬츠
186,ITEM,트레이닝팬츠,Track Pants,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_TRACK_PANTS,,,,트레이닝팬츠,트레이닝팬츠
187,ITEM,세트업,Matching Set,투피스/세트를 대표하는 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_SETUP,,,,세트업,세트업
188,ITEM,스커트,Skirt,미니/미디/맥시는 LENGTH로 분리,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_SKIRT,,,,스커트,스커트
189,ITEM,오버올,Overall,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_OVERALL,,,,오버올,오버올
190,ITEM,원피스,Dress,미니/미디/맥시는 LENGTH로 분리,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_DRESS,,,,원피스,원피스
191,ITEM,점프수트,Jumpsuit,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_JUMPSUIT,,,,점프수트,점프수트
192,ITEM,드레스,Gown,드레스 표기가 독립 상품유형일 때 사용,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_DRESS_FORMAL,,,,드레스,드레스
193,ITEM,신발,Shoes,신발류 umbrella concept,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_SHOES,,,,신발,신발
194,ITEM,레인부츠,Rain Boots,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_RAIN_BOOTS,,,,레인부츠,레인부츠
195,ITEM,워커,Combat Boots,독립 상품유형,ACTIVE,,,2026-09-09 17:41:29.703 +0900,2026-09-09 22:37:43.511 +0900,ITEM_COMBAT_BOOTS,,,,워커,워커
